,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
5046,be to bring,be to teach,The idea be to bring information,The idea be to teach information,No,1.0
5047,lay down on,crawl on,Steve lay down on the floor,Steve crawl on the floor,No,1.0
5048,agree with,feel sorry for,Jack agree with Jill,Jack feel sorry for Jill,No,1.0
5049,want to reconsider,need to change,Council want to reconsider this initiative,Council need to change this initiative,No,1.0
5050,be more of,be possible to buy,this page be more of a guide,this page be possible to buy a guide,No,1.0
5051,prepare,protect,Participants prepare food,Participants protect food,No,1.0
5052,cheat on,want to be with,My best friend cheat on his girlfriend,My best friend want to be with his girlfriend,No,1.0
5053,spend a year in,enlist in,my family spend a year in Europe,my family enlist in Europe,No,1.0
5054,spend 4 day in,be ready to leave,My wife spend 4 day in hospital,My wife be ready to leave hospital,No,1.0
5055,eat,feed,the big fish eat the little fish,the big fish feed the little fish,No,1.0
5056,have an effect on,have no impact on,ACE inhibitors have an effect on blood pressure,ACE inhibitors have no impact on blood pressure,No,1.0
5057,get to know,make friend with,Students get to know their communities,Students make friend with their communities,No,1.0
5058,hit the nail on,be wounded in,your post hit the nail on the head,your post be wounded in the head,No,1.0
5059,pardon,repent of,President Bush pardon I. Lewis Libby,President Bush repent of I. Lewis Libby,No,1.0
5060,be removed from,be placed into,votes be removed from the contest,votes be placed into the contest,No,1.0
5061,have dominion over,defile,him have dominion over the fishes of the sea,him defile the fishes of the sea,No,1.0
5062,be given,deserve,each of us be given a special gift,each of us deserve a special gift,No,1.0
5063,have dinner on,be tired on,Tom have dinner on the table,Tom be tired on the table,No,1.0
5064,be advised to review,agree to,Members be advised to review the rules,Members agree to the rules,No,1.0
5065,be happy with,vote for,parents be happy with their schools,parents vote for their schools,No,1.0
5066,solve,generate,Apple solve that issue,Apple generate that issue,No,1.0
5067,reject,agree to,American students reject their teachers,American students agree to their teachers,No,1.0
5068,blow up,want to build,a terrorist blow up America,a terrorist want to build America,No,1.0
5069,agree with,object to,Im agree with him,Im object to him,No,1.0
5070,sign all of,write most of,The United States sign all of these treaties,The United States write most of these treaties,No,1.0
5071,be bad for,be safe for,The condition be bad for human beings,The condition be safe for human beings,No,1.0
5072,need to take,like to take,Governments need to take a comprehensive approach,Governments like to take a comprehensive approach,No,1.0
5073,confirm receipt of,prefer to receive,the High Court confirm receipt of the appeal,the High Court prefer to receive the appeal,No,1.0
5074,reiterate,elaborate on,Amnesty International reiterate its call,Amnesty International elaborate on its call,No,1.0
5075,dissect,need,your class dissect animals,your class need animals,No,1.0
5076,plan,forget about,the same group plan this attack,the same group forget about this attack,No,1.0
5077,remain open to,be closed to,campus remain open to the entire community,campus be closed to the entire community,No,1.0
5078,have a change in,be flexible with,Idaho have a change in law,Idaho be flexible with law,No,1.0
5079,acquire one of,own some of,Disney acquire one of its competitors,Disney own some of its competitors,No,1.0
5080,consider,agree to,Canada consider this change,Canada agree to this change,No,1.0
5081,include in,rely on,voltage include in the signal,voltage rely on the signal,No,1.0
5082,make this for,come home for,our daughter make this for him,our daughter come home for him,No,1.0
5083,beat,break,the Raiders beat the Texans,the Raiders break the Texans,No,1.0
5084,operate as,be converted into,the library operate as a City Library,the library be converted into a City Library,No,1.0
5085,enable,be ideal for,Our products and services enable organizations,Our products and services be ideal for organizations,No,1.0
5086,respond to,process,our staff respond to your contribution,our staff process your contribution,No,1.0
5087,want to use,dont like,others want to use touch,others dont like touch,No,1.0
5088,spend about,talk for,Visitors spend about two hours,Visitors talk for two hours,No,1.0
5089,refute,confirm,Many scholars refute this argument,Many scholars confirm this argument,No,1.0
5090,heal,lead,help heal their team,help lead their team,No,1.0
5091,be the part of,be the only part of,The small intestine be the part of the digestive system,The small intestine be the only part of the digestive system,No,1.0
5092,be put in,be removed from,My body be put in a shape,My body be removed from a shape,No,1.0
5093,want to look at,look into,most people want to look at new stuff,most people look into new stuff,No,1.0
5094,lift,rub,Rezo lift his head,Rezo rub his head,No,1.0
5095,worry about,dislike,Ladies worry about your hair,Ladies dislike your hair,No,1.0
5096,plan for,be one block on,No one plan for their possessions,No one be one block on their possessions,No,1.0
5097,sail to,sail out of,Captain Cook sail to Australia,Captain Cook sail out of Australia,No,1.0
5098,ban,confuse,teachers ban homework,teachers confuse homework,No,1.0
5099,be a part of,be an integral part of,The city be a part of the Atlantic Coastal Plain,The city be an integral part of the Atlantic Coastal Plain,No,1.0
5100,know about,be focused on,he/she know about a subject,he/she be focused on a subject,No,1.0
5101,do to,hate,your governments do to your children,your governments hate your children,No,1.0
5102,remember,celebrate,No one remember the speech,No one celebrate the speech,No,1.0
5103,refund,be reimbursed for,The store refund your money,The store be reimbursed for your money,No,1.0
5104,permit,be remanded in@R@,The Supreme Court permit the defendant,the defendant be remanded in The Supreme Court,No,1.0
5105,shoot,tie,John/Roman shoot him,John/Roman tie him,No,1.0
5106,plop in,squirm in,Crystal plop in her chair,Crystal squirm in her chair,No,1.0
5107,travel to,grow up in,the team travel to Iowa City,the team grow up in Iowa City,No,1.0
5108,pay attention to,laugh at,the public pay attention to the warning,the public laugh at the warning,No,1.0
5109,smile upon,punish,the women smile upon him,the women punish him,No,1.0
5110,be difficult for,make sense for,other foods be difficult for birds,other foods make sense for birds,No,1.0
5111,do one of,read one of,Ive do one of these things,Ive read one of these things,No,1.0
5112,come to call,read the history of,Jesus Christ come to call the righteous,Jesus Christ read the history of the righteous,No,1.0
5113,pass to,welcome,Bulgaria pass to Byzantine rule,Bulgaria welcome Byzantine rule,No,1.0
5114,be cool with,be warm with,The afternoon be cool with a few showers,The afternoon be warm with a few showers,No,1.0
5115,need to take,plan to take,Nobody need to take a plane,Nobody plan to take a plane,No,1.0
5116,be beheaded in,preach in,Anne Boleyn be beheaded in the tower,Anne Boleyn preach in the tower,No,1.0
5117,make the most of,help make,students make the most of their university experience,students help make their university experience,No,1.0
5118,open on,announce on,Congress open on Tuesday,Congress announce on Tuesday,No,1.0
5119,roll,look over at,The attendant roll his eyes,The attendant look over at his eyes,No,1.0
5120,avoid do,get to do,these writers avoid do events,these writers get to do events,No,1.0
5121,accept,reject,The renter accept the rental agreement,The renter reject the rental agreement,No,1.0
5122,become possible for,be meant for,other countries become possible for the first time,other countries be meant for the first time,No,1.0
5123,memorize,need to read,children memorize songs,children need to read songs,No,1.0
5124,speak to,hear from,John speak to the governors,John hear from the governors,No,1.0
5125,blame,hear from,no one blame the liberal media,no one hear from the liberal media,No,1.0
5126,be taken of,be taken in,This picture be taken of the building,This picture be taken in the building,No,1.0
5127,show up,go to work,Jack show up one day,Jack go to work one day,No,1.0
5128,be worse for,be more important for,trans fats be worse for heart disease,trans fats be more important for heart disease,No,1.0
5129,work,talk,Lunesta work a little bit,Lunesta talk a little bit,No,1.0
5130,please return,fill out,Students please return their applications,Students fill out their applications,No,1.0
5131,show off,design,The boys show off their stuff,The boys design their stuff,No,1.0
5132,be true for,benefit,the same be true for Christmas,the same benefit Christmas,No,1.0
5133,take an interest in,hold a bachelors of,Bateson take an interest in Bandler and Grinder,Bateson hold a bachelors of Bandler and Grinder,No,1.0
